BnR;P;Brifne Whiskey,Leighean Gin,Ice;1:+30,2:-12,3:-12,4:+20,6:+50;85,82,63
Potato & Egg Salad;P;Boiled Potato,Boiled Egg,Mayonnaise;1:+3,2:+10,3:+5,6:+25;122,82,26
Potato Salad;P;Boiled Potato,Onion,Salt;2:+4,3:+5,6:+19;160,51,19
Dog Biscuit;P;Chocolate Chip Cookie,Butter Biscuit;1:+2,2:+2,6:+8;134,96,0
Egg Salad;P;Boiled Egg,Mayonnaise,Salt;1:+3,2:+10,6:+20;177,35,18
Mixed Fruit;P;Strawberry,Apple,Berry;3:+3,6:+25;102,71,57
Fruit Salad;P;Mixed Fruit,Mayonnaise,Sugar;2:+5,3:+3,6:+30;174,32,24
Nares Cake Set;P;Coconut Pound Cake,Gateau Au Chocolat,Rare Cheesecake;3:+5,6:+45;114,68,48
Strawberry Milk;P;Milk,Strawberry,Sugar;2:+6,6:+25;150,71,9
Leighean Sling;P;Leighean Gin,Lemon Juice,Sugar;1:+20,2:-8,3:-8,4:+15,6:+38;43,178,9
Red Sunrise;P;Brifne Whiskey,Orange Juice,Sugar;1:+20,2:-10,3:-10,4:+15,6:+42;62,140,28
Lemon Juice;P;Lemon,Berry,Sugar;2:+5,5:+5,6:+10;141,65,24
Lemon Tea;P;Lemon,Berry,Water;0:no effect;196,22,12
Rare Cheese Cake;P;Big Lump of Cheese,Butter Biscuit,Whipped Cream;5:+5,6:+18;160,33,37
Lutra Cocktail set;P;Leighean Sling,Screwdriver,Red Sunrise;1:+20,3:+5;94,66,70
Macchiato;P;Espresso,Steam Milk,Whipped Cream;1:+15,6:+10;70,80,80
Magic Bean Curd;P;Magic Bean Flour,Water,Nigari;1:+10,5:+10,6:+20;182,39,9
Mayonnaise;P;Egg,Olive Oil,Salt;0:no effect;166,45,19
Water-soaked Bean;P;Bean,Water,Salt;0:no effect;160,51,19
Mashed Tofu;P;Magic Bean Powder,Water,Nigari;1:+2,5:+2,6:+5;160,52,18
Vales Fire;P;Vales Whiskey,Ice;1:+38,2:-15,3:-15,4:+25,6:+30;173,57,0
Mushroom Canape;P;Hazelnut Mushroom,Slice of Cheese,Whipped Cream;3:+3,4:+10,6:+18;114,68,48
Bacon & Potato Dog Food;P;Potato,Bacon;1:+6,3:-6,6:+10;134,96,0
Vegetable Canape;P;Carrot,Boiled Potato,Lemon;3:-9,4:+12,6:+25,10:7;114,92,24
Brifne Rocks;P;Ice,Brifne Whiskey,Lemon;1:+25,2:-10,3:-10,4:+15,6:+45;132,89,9
Seasoned Smelt;P;Smelt,Fried Vegetables;1:+5,5:+15,6:+20,9:+15;95,135,0
Apple Juice;P;Apple,Berry,Sugar;1:+5,3:+5,6:+12;167,39,24
Shrimp Dog Food;P;Steamed Rice,Shrimp,Salt;1:+8,3:-8,6:+14;134,68,28
Screwdriver;P;Brifne Whiskey,Orange Juice,Lemon;1:+28,2:-8,3:-8,4:+18,6:+42;42,179,9
Iced Macchiato;P;Macchiato,Ice,Whipped Cream;1:+25,6:+20;115,44,71
Ice Cafe Mocha;P;Cafe Mocha,Ice,Whipped Cream;1:+20,2:+30,3:+30;138,47,45
Mixed Vegetables;P;Celery,Carrot,Onion;0:no effect;80,70,80
Espresso Macchiato;P;Espresso,Steam Milk,Water;4:+5,5:+5,6:+5;95,89,46
Orange Juice;P;Orange,Berry,Sugar;2:+5,5:+5,6:+10;167,45,18
Chocolate;P;Baking Chocolate,Whipped Cream,Sugar;1:+4,2:+4,6:+12;97,97,36
Chocolate Milk;P;Chocolate,Milk,Sugar;1:+5,2:+5,6:+15;99,95,36
Cheese Bread;P;Bread,Slice of Cheese,Salt;6:+14;175,44,11
Curry Bread;P;Bread,Sliced Meat,Curry Powder;1:+8,6:+15;160,35,35
Curry Paste;P;Curry Powder,Potato,Sliced Meat;0:no effect;164,38,28
Camellia Sling;P;Camellia Fruit,Water,Vales Whiskey;1:+10,2:-3,3:-3 ,4:+10,6:+18;71,24,135
Cafe Mocha;P;Espresso,Baking Chocolate,Steam Milk;1:+10,2:+20,3:+20;95,39,96
Cappuccino;P;Espresso,Steam Milk,Milk;4:+20;70,90,70
Cream Farfalle;P;Short Pasta,Cream Sauce,Pepper;1:+8,2:+8,3:+20,5:+20,6:+20;146,75,9
Kiss On The Lips;P;Brifne Whiskey,Lemon Juice,Sugar;1:+26,2:-8,3:-8,4:+18,6:+45;126,73,31
Tomato Basil Salad;P;Tomato,Basil,Boiled Potato;2:+5,3:-8,4:+5,10:7;114,71,45
Tomato Spaghetti;P;Long Pasta,Tomato Sauce,Pepper;1:+10,2:+4,3:+30,5:+10,6:+15;150,71,9
Filia Cookie Set;P;Mushroom Cookie,Coconut Cookie,Chocolate Chip Cookie;3:+5,4:+20;94,88,48
Seafood Spaghetti;P;Long Pasta,Seafood Sauce,Pepper;1:+5,2:+12,3:+25,5:+15,6:+30;150,71,9
Jellyfish Salad;P;Jellyfish,Salt,Sugar;2:+12,5:+8,7:+8,9:+14;182,24,24
Herb Mushroom Salad;P;Steamed Mushroom,Thyme,Olive Oil;3:-7,4:+5,5:+5,10:7;160,46,24
Catfish Garden Salad;P;Catfish,Mixed Vegetables,Mayonnaise;2:+20,6:+30,7:+30;134,60,36
Corned Abb Neagh Carp and Vegetables;P;Abb Neagh Carp,Mixed Vegetables,Salt;2:+5,6:+15,7:+10;126,68,36
Egg Caviar;P;Sturgeon,Fried Egg,Slice of Cheese;1:+10,5:+11,6:+17;70,100,60
Caviar Salad;P;Mako Shark,Mixed Fruit,Mayonnaise;2:+30,7:+30;42,168,20
Caviar Canape;P;Sturgeon,Bread,Berry;0:no effect;92,128,10
Obedience bait Shrimp;P;Shrimp,Garlic,Sugar;0:Obedience bait;77,77,76
Meat Marinade;P;Salt,Pepper,Garlic;0:No effect;23,23,184
Chojang;P;Vinegar,Gochujang,Garlic;0:no effect added yet;103,101,26
Celery Salad;P;Celery,Cabbage,Carrot;0:no effect added yet;80,87,63
T-Bone Steak;F;Sliced Meat,Thyme,Salt;1:+8,3:+5,5:+5,6:+40;178,33,19
Gateau Au Chocolat;F;Wheat Flour,Chocolate,Egg;3:+3,6:+22;87,76,67
Fried Egg;F;Egg,Salt;6:+14;187,43,0
Roasted Bean;F;Bean,Olive Oil,Salt;0:no effect;177,40,13
Kikiki Mushroom Cookie;F;Mushroom Cookie,Cooking Potion,Brown Pine Mushroom;0:smiley face continued;102,72,56
Flying Fish Crepe;F;Flying Fish,Potato,Egg;2:+5,7:+16;92,90,48
Roasted Chicken Wing;F;Chicken Wings,Olive Oil;4:+10,6:+28;182,48,0
Strawberry Jam Toast;F;Milk Bread,Strawberry Jam,Butter;2:+30;137,69,24
Roast Chicken;F;Chicken Wings,Thyme,Salt;1:+15,3:+2,5:+8,6:+25;167,39,24
Garlic Bread;F;Bread,Garlic;1:+3,6:+10;191,39,0
Toast;F;Sliced Bread,Butter;1:+3,6:+30;184,46,0
Mushroom Gratin;F;Hazelnut Mushroom,Onion,Big Lump of Cheese;1:+15,2:+30,6:+20;114,68,48
Mushroom Cookie;F;Flour Dough,Hazelnut Mushroom,Whipped Cream;2:+5,3:+3,6:+10;114,92,24
Butter Biscuit;F;Flour Dough,Butter,Sugar;1:+9,3:+3,6:+15;107,60,63
Roasted Bacon;F;Bacon,Salt;2:+3,6:+18;206,24,0
Barley Bread;F;Barley Flour,Water,Yeast;2:+9,6:+15;126,85,19
Roasted Coffee;F;Courcle Coffee Bean,Water;0:no effect;206,24,0
Brownies;F;Chocolate,Flour Dough,Yeast;1:+6,2:+8,6:+12;107,109,14
Broiled Brifne Carp;F;Brifne Carp,Olive Oil,Salt;5:+5,6:+11;196,20,14
