BnR;P;ブリフネウィスキー,ライン産ジン,氷;1:+30,2:-12,3:-12,4:+20,6:+50;85,82,63
ポテトタマゴサラダ;P;ゆでたジャガイモ,ゆで卵,マヨネーズ;1:+3,2:+10,3:+5,6:+25;122,82,26
ポテトサラダ;P;ゆでたジャガイモ,玉ねぎ,塩;2:+4,3:+5,6:+19;160,51,19
犬のお菓子;P;チョコチップクッキー,バタービスケット;1:+2,2:+2,6:+8;134,96,0
卵サラダ;P;ゆで卵,マヨネーズ,塩;1:+3,2:+10,6:+20;177,35,18
フルーツ盛り合わせ;P;イチゴ,りんご,木の実;3:+3,6:+25;102,71,57
フルーツサラダ;P;フルーツ盛り合わせ,マヨネーズ,砂糖;2:+5,3:+3,6:+30;174,32,24
ナレスケーキセット;P;ココナッツパウンドケーキ,ガトーショコラ,レアチーズケーキ;3:+5,6:+45;114,68,48
イチゴ牛乳;P;牛乳,イチゴ,砂糖;2:+6,6:+25;150,71,9
ラインスリング;P;ライン産ジン,レモンジュース,砂糖;1:+20,2:-8,3:-8,4:+15,6:+38;43,178,9
レッドサンライズ;P;ブリフネウィスキー,オレンジジュース,砂糖;1:+20,2:-10,3:-10,4:+15,6:+42;62,140,28
レモンジュース;P;レモン,木の実,砂糖;2:+5,5:+5,6:+10;141,65,24
レモン汁;P;レモン,木の実,水;0:料理の材料;196,22,12
レアチーズケーキ;P;大きなチーズ,バタービスケット,生クリーム;5:+5,6:+18;160,33,37
ルトゥラーカクテルセット;P;ラインスリング,スクリュードライバー,レッドサンライズ;1:+20,3:+5;94,66,70
マキアート;P;エスプレッソ,スチームミルク,生クリーム;1:+15,6:+10;70,80,80
魔法の豆の豆腐;P;魔法の豆の粉,水,凝固剤;1:+10,5:+10,6:+20;182,39,9
マヨネーズ;P;卵,オリーブオイル,塩;0:料理の材料;166,45,19
ふかした豆;P;豆,水,塩;0:料理の材料;160,51,19
つぶれた豆腐;P;きな粉,水,塩;1:+2,5:+2,6:+5;160,52,18
バレスファイヤー;P;バレスウィスキー,氷;1:+38,2:-15,3:-15,4:+25,6:+30;174,56,0
キノコカナッペ;P;クリタケ,チーズ,生クリーム;3:+3,4:+10,6:+18;114,68,48
犬のベーコンポテト;P;ジャガイモ,ベーコン;1:+6,3:-6,6:+10;134,96,0
ベジタブルカナッペ;P;ニンジン,ゆでたジャガイモ,レモン;3:-9,4:+12,6:+25,10:7;114,92,24
ブリフネラックス;P;氷,ブリフネウィスキー,レモン;1:+25,2:-10,3:-10,4:+15,6:+45;132,89,9
ワカサギの和え物;P;ワカサギ,野菜炒め;1:+5,5:+15,6:+20,9:+15;95,135,0
アップルジュース;P;りんご,木の実,砂糖;1:+5,3:+5,6:+12;167,39,24
犬用のエビライス;P;ご飯,えび,塩;1:+8,3:-8,6:+14;134,68,28
スクリュードライバー;P;ブリフネウィスキー,オレンジジュース,レモン;1:+28,2:-8,3:-8,4:+18,6:+42;42,179,9
アイスマキアート;P;マキアート,氷,生クリーム;1:+25,6:+20;115,44,71
アイスカフェモカ;P;カフェモカ,氷,生クリーム;1:+20,2:+30,3:+30;138,47,45
野菜ミックス;P;セロリ,ニンジン,玉ねぎ;0:料理の材料;80,70,80
エスプレッソマキアート;P;エスプレッソ,スチームミルク,水;4:+5,5:+5,6:+5;95,89,46
オレンジジュース;P;オレンジ,木の実,砂糖;2:+5,5:+5,6:+10;167,45,18
チョコレート;P;チョコレートの材料,生クリーム,砂糖;1:+4,2:+4,6:+12;97,97,36
チョコレート牛乳;P;チョコレート,牛乳,砂糖;1:+5,2:+5,6:+15;99,95,36
チーズパン;P;パン,チーズ,塩;6:+14;175,44,11
カレーパン;P;パン,肉,カレー粉;1:+8,6:+15;160,35,35
カレーペースト;P;カレー粉,ジャガイモ,肉;0:料理の材料;164,38,28
カメリアスリング;P;ツバキの実,水,バレスウイスキー;1:+10,2:-3,3:-3,4:+10,6:+18;71,24,135
カフェモカ;P;エスプレッソ,チョコレートの材料,スチームミルク;1:+10,2:+20,3:+20;95,39,96
カプチーノ;P;エスプレッソ,スチームミルク,牛乳;4:+20;70,90,70
クリームファルファーレ;P;ショートパスタ,クリームソース,コショウ;1:+8,2:+8,3:+20,5:+20,6:+20;146,75,9
キスオンザリップ;P;ブリフネウィスキー,レモンジュース,砂糖;1:+26,2:-8,3:-8,4:+18,6:+45;126,73,31
トマトバジルのサラダ;P;トマト,バジル,ゆでたジャガイモ;2:+5,3:-8,4:+5,10:7;114,71,45
トマトスパゲティ;P;ロングパスタ,トマトソース,コショウ;1:+10,2:+4,3:+30,5:+10,6:+15;150,71,9
フィリアクッキーセット;P;キノコクッキー,ココナッツクッキー,チョコチップクッキー;3:+5,4:+20;94,88,48
シーフードスパゲティ;P;ロングパスタ,シーフードソース,コショウ;1:+5,2:+12,3:+25,5:+15,6:+30;150,71,9
クラゲの和え物;P;クラゲ,塩,砂糖;2:+12,5:+8,7:+8,9:+14;182,24,24
ハーブキノコのサラダ;P;キノコ煮込み,タイム,オリーブオイル;3:-7,4:+5,5:+5,10:7;160,46,24
ナマズと野菜のサラダ;P;ナマズ,野菜ミックス,マヨネーズ;2:+20,6:+30,7:+30;134,60,36
アブネア鯉と野菜の塩漬け;P;アブネア鯉,野菜ミックス,塩;2:+5,6:+15,7:+10;126,68,36
エッグキャビア;P;チョウザメ,目玉焼き,チーズ;1:+10,5:+11,6:+17;70,100,60
キャビアのサラダ;P;アオザメ,フルーツ盛り合わせ,マヨネーズ;2:+30,7:+30;42,168,20
キャビアカナッペ;P;チョウザメ,パン,木の実;0:効果なし;92,128,10
えびの調教エサ;P;えび,にんにく,砂糖;0:調教エサ;77,77,76
