autobotdescmgr.1	Combat EXP Bonus +{0}%
autobotdescmgr.2	Movement Speed +{0}%
autobotdescmgr.3	{0}
autobotdescmgr.4	Critical Damage +{0}%
autobotdescmgr.5	Pet Combat EXP Bonus +{0}%
autobotdescmgr.6	Music Buff Duration {0}
autobotdescmgr.7	Attack Speed {0}%
autobotdescmgr.8	Gathering Speed +{0}%
booleanfunctionhandler.1	When you are an Elf or supporting an Elf
booleanfunctionhandler.2	When you are a Giant or supporting a Giant
booleanfunctionhandler.3	Summoning Golem
booleanfunctionhandler.4	Installing Barrier Spikes
booleanfunctionhandler.5	While pet summoned
campfirespiritmgr.1	[패널티 초기화] 동일 모닥불 반복 소각 패널티
campfirespiritmgr.2	[패널티 초기화] 일일 반복 소각 패널티
campfirespiritmgr.3	[패널티 정보] 패널티 총합: {0}%\n -> 동일 모닥불 반복 소각 패널티: {1}%, 소각횟수: {2}, 프랍ID: {3}\n -> 일일 반복 소각 패널티: {4}%
camputil.1	No Camping Kit in the inventory.
camputil.2	The Camping Kit was added to the Personal Shop.
chainskilldesc.1	You can use this skill after using stage {0} Combo.
commercedescmgr.1	.
commercedescmgr.2	Plays special background music full of holiday cheer.
compareskilllevelhandler.1	If the rank of {0} is dan {1}
compareskilllevelhandler.2	If the rank of {0} is dan {1} or higher
compareskilllevelhandler.3	If the rank of {0} is dan {1} or lower
compareskilllevelhandler.4	While in Commerce with {0} Rank {1} or higher
compareskilllevelhandler.5	While in Commerce with {0} Rank {1} or higher
compareskilllevelhandler.6	when the {0} Technique is Lv. {1} or higher
continentmgr.1	Uladh
continentmgr.2	Iria
continentmgr.3	Belvast Island
continentmgr.4	Moye Ocean
divineknightdescmgr.1	Warding
divineknightdescmgr.2	Binding
divineknightdescmgr.3	Smiting
dungeon.downstairs	<mini>TO</mini>  Downstairs
erinnlandachievementdescmgr.1	Basic
erinnlandachievementdescmgr.2	Limited
erinnlandachievementdescmgr.3	Mini-game
erinnlandachievementdescmgr.4	Attraction
etc.combat_power.strong1	+100 CP
etc.combat_power.strong2	+500 CP
etc.combat_power.strong3	+1000 CP
etc.combat_power.strong4	+1500 CP
etc.combat_power.weak1	-100 CP
etc.combat_power.weak2	-500 CP
etc.combat_power.weak3	-1000 CP
etc.combat_power.weak4	-1500 CP
etc.daysafter	{0} day(s)
etc.explo_level	Exploration Level
etc.exploquest_result_desc_reward_exp	Exploration EXP {0}
etc.gamemonth_albaneiler	Alban Eiler
etc.gamemonth_albaneiler_desc	INCREASE IN SUCCESS RATE FOR PRODUCTION SKILLS.\tINCREASE IN RANK-UP BONUS FOR LIFE SKILLS.
etc.gamemonth_albaneiler_desc_2	INCREASE IN SUCCESS RATE FOR PRODUCTION SKILLS.\nINCREASE IN RANK-UP BONUS FOR LIFE SKILLS.
etc.gamemonth_albanelved	Alban Elved
etc.gamemonth_albanelved_desc	DISCOUNT PRICES FOR GOODS SOLD AT SHOPS.\tDECREASE IN BANK FEES.
etc.gamemonth_albanelved_desc_2	DISCOUNT PRICES FOR GOODS SOLD AT SHOPS.\nDECREASE IN BANK FEES.
etc.gamemonth_albanheruin	Alban Heruin
etc.gamemonth_albanheruin_desc	DECREASE IN PENALTIES WHEN KNOCKED UNCONSCIOUS.\tINCREASE IN RANK-UP BONUS FOR MAGIC SKILLS.\tALL POTIONS BECOME MORE POTENT.
etc.gamemonth_albanheruin_desc_2	DECREASE IN PENALTIES WHEN KNOCKED UNCONSCIOUS.\nINCREASE IN RANK-UP BONUS FOR MAGIC SKILLS.\nALL POTIONS BECOME MORE POTENT.
etc.gamemonth_baltane	Baltane
etc.gamemonth_baltane_desc	INCREASE IN REWARDS FOR PART-TIME JOBS.\tDUNGEON MAPS CHANGE EVEN IF THE SAME ITEM IS DROPPED.\tINCREASE IN DUNGEON ITEM DROP RATE.
etc.gamemonth_baltane_desc_2	INCREASE IN REWARDS FOR PART-TIME JOBS.\nDUNGEON MAPS CHANGE EVEN IF THE SAME ITEM IS DROPPED.\nINCREASE IN DUNGEON ITEM DROP RATE.
etc.gamemonth_friday	Friday
etc.gamemonth_imbolic	Imbolic
etc.gamemonth_imbolic_desc	INCREASE IN CRITICAL HIT RATE.\tINCREASE IN LUCKY FINISH RATE.\tINCREASE IN RANK-UP BONUS FOR COMBAT SKILLS.\tINCREASE IN RANK-UP BONUS FOR MUSIC SKILLS.
etc.gamemonth_imbolic_desc_2	INCREASE IN CRITICAL HIT RATE.\nINCREASE IN LUCKY FINISH RATE.\nINCREASE IN RANK-UP BONUS FOR COMBAT SKILLS.\nINCREASE IN RANK-UP BONUS FOR MUSIC SKILLS.
etc.gamemonth_lughnasadh	Lughnasadh
etc.gamemonth_lughnasadh_desc	INCREASE IN SUCCESS RATE FOR ENCHANTS.\tINCREASE IN ITEM DROP RATE FROM ANIMALS AND NATURE.\tDECREASE IN STAMINA SPENT ON READING BOOKS.\tINCREASE IN SUCCESS RATE FOR LEARNING SKILLS FROM SEAL BOOKS.
etc.gamemonth_lughnasadh_desc_2	INCREASE IN SUCCESS RATE FOR ENCHANTS.\nINCREASE IN ITEM DROP RATE FROM ANIMALS AND NATURE.\nDECREASE IN STAMINA SPENT ON READING BOOKS.\nINCREASE IN SUCCESS RATE FOR LEARNING SKILLS FROM SEAL BOOKS.
etc.gamemonth_monday	Monday
etc.gamemonth_notice	Today is {0} in Erinn.\tHere are Today's Bonuses:\t{1}
etc.gamemonth_samhain	Samhain
etc.gamemonth_samhain_desc	CHARACTER AGES ONE YEAR.\tINCREASE IN FOOD EFFECTS.\tINCREASE IN PERFECT SKILL-TRAINING BONUS.
etc.gamemonth_samhain_desc_2	CHARACTER AGES ONE YEAR.\nINCREASE IN FOOD EFFECTS.\nINCREASE IN PERFECT SKILL-TRAINING BONUS.
etc.gamemonth_saturday	Saturday
etc.gamemonth_sunday	Sunday
etc.gamemonth_thursday	Thursday
etc.gamemonth_tuesday	Tuesday
etc.gamemonth_wednesday	Wednesday
etc.gameword.accessory	Accessory
etc.gameword.ceann_harbor	Port Ceann
etc.gameword_elemental_fire	Fire
etc.gameword_elemental_ice	Ice
etc.gameword_elemental_lightning	Lightning
etc.gameword_etc_exp	Experience Point
etc.gameword_item.attack_max	Max Attack Power
etc.gameword_item.attack_min	Min Attack Power
etc.gameword_item.attack_speed	Attack Speed
etc.gameword_item.balance	Balance
etc.gameword_item.critical	Critical
etc.gameword_item.defense	Defense Power
etc.gameword_item.down_hit_count	Combo Hits
etc.gameword_item.durability	Durability
etc.gameword_item.durability_max	Max Durability
etc.gameword_item.protect	Protection
etc.gameword_item.range	Effective Range
etc.gameword_item.wound_max	Max Injury Rate
etc.gameword_item.wound_min	Min Injury Rate
etc.gameword_param_age	Age
etc.gameword_param_attackmax	Max Damage
etc.gameword_param_attackmin	Min Damage
etc.gameword_param_ciritcal	Critical
etc.gameword_param_defense	Defense
etc.gameword_param_dexterity	Dexterity
etc.gameword_param_food	Hunger
etc.gameword_param_intelligence	Intelligence
etc.gameword_param_level	Level
etc.gameword_param_life	HP
etc.gameword_param_lifemax	MaxHP
etc.gameword_param_luck	Luck
etc.gameword_param_mana	MP
etc.gameword_param_manamax	MaxMP
etc.gameword_param_protect	Protection
etc.gameword_param_rate	Damage Balance
etc.gameword_param_stamina	Stamina
etc.gameword_param_staminamax	Max Stamina
etc.gameword_param_strength	STR
etc.gameword_param_wattackmax	Max Injury Rate
etc.gameword_param_wattackmin	Min Injury Rate
etc.gameword_param_will	Will
etc.gameword_param_wound	Wound
etc.house_estate.bidding_due	{0}/{1},  {2}:{3} 
etc.house_form.site_address_num	Shop No. 
etc.house_form.site_address_street	Street
etc.interface_houseestate.0	{0}/{1},  {2}:{3} 
etc.invalid_material	One of the ingredients is incomplete.
etc.invalid_skill_trainingcondition	\nInvalid skill data.\nFull trained skill EXP is lower than 100.\nSkill Name: {0}, Skill Level: {1}
etc.journaltime	{2}:00, {0}/{1}
etc.option.in_arbeit	If part-time job {0} is completed more than {1} times
etc.option.in_broken	When broken
etc.option.in_condition	When in a state of {0}
etc.option.in_month	While being {0}
etc.option.in_title	While holding {0} title
etc.option.not_in_broken	When not broken
etc.quest_of_who	{0}'s {1}
etc.quest_result_desc_item_quantity	{1} {0}
etc.quest_result_desc_reward_ap	{0}
etc.quest_result_desc_reward_exp	{1:exp_value} {0:GW_EXP}
etc.quest_result_desc_reward_gold	{0}
etc.quest_result_desc_reward_questscroll	Quest Scroll
etc.quest_result_desc_reward_unit_of_ap	Ability Point
etc.quest_result_desc_reward_writechronicle	Record in Exploration Chronicle
